x,y,z_true,z_smooth
-0.6666666666666667,2,-0.5118945753122262,-0.5372837638090037
-0.5,-2,-0.4712932259118798,-0.5162311849617095
-0.5,-1.8333333333333333,-0.32356622768613696,-0.3583424138928561
-0.5,-1.6666666666666667,-0.16844780301459422,-0.199486443673839
-0.5,-1.5,-0.010342318905209227,-0.04550749550848267
-0.5,-1.3333333333333335,0.14626905409775054,0.10025663862396833
-0.5,-1.1666666666666665,0.29695365104922516,0.24546469020159312
-0.5,-1,0.4374512107325989,0.3776606543291938
-0.5,-0.8333333333333333,0.5637929133385202,0.4976306598270416
-0.5,-0.6666666666666667,0.6724122440830567,0.5985607323256159
-0.5,-0.5,0.7602445970756301,0.6799259364319759
-0.5,-0.33333333333333326,0.8248128474149551,0.7401092837548442
-0.5,-0.16666666666666674,0.8642965101856617,0.7774937859029429
-0.5,0,0.8775825618903728,0.7904624544849944
-0.5,0.16666666666666652,0.8642965101856618,0.7769296744599853
-0.5,0.3333333333333335,0.824812847414955,0.739539893570043
-0.5,0.5,0.7602445970756301,0.6801628409824823
-0.5,0.6666666666666665,0.6724122440830568,0.597845765619476
-0.5,0.8333333333333335,0.5637929133385201,0.49475224627723047
-0.5,1,0.4374512107325989,0.3778536219794909
-0.5,1.1666666666666665,0.29695365104922516,0.24552022009060404
-0.5,1.3333333333333335,0.14626905409775054,0.10005660342232517
-0.5,1.5,-0.010342318905209227,-0.04566453583048666
-0.5,1.6666666666666665,-0.168447803014594,-0.19487876196978618
-0.5,1.8333333333333335,-0.3235662276861372,-0.3519573646213082
-0.5,2,-0.4712932259118798,-0.5057312395758632
-0.33333333333333326,-2,-0.4410705581307252,-0.4853433165214816
-0.33333333333333326,-1.8333333333333333,-0.2884366140089744,-0.3236976364290011
-0.33333333333333326,-1.6666666666666667,-0.1285203827975119,-0.1603773934348684
-0.33333333333333326,-1.5,0.03419891408883562,-0.0033322032951749424
-0.33333333333333326,-1.3333333333333335,0.19516706205392367,0.1463376427579154
-0.33333333333333326,-1.1666666666666665,0.3498815685624632,0.29439230933225524
-0.33333333333333326,-1,0.4940169150382271,0.43040756019839466
-0.33333333333333326,-0.8333333333333333,0.6235448671818156,0.5524712203776525
-0.33333333333333326,-0.6666666666666667,0.734846502927666,0.6555969931576335
-0.33333333333333326,-0.5,0.8248128474149551,0.7392819943591501
-0.33333333333333326,-0.33333333333333326,0.8909313208119538,0.801550142335221
-0.33333333333333326,-0.16666666666666674,0.931355598825622,0.8404253554388653
-0.33333333333333326,0,0.9449569463147377,0.8539315520231016
-0.33333333333333326,0.16666666666666652,0.931355598825622,0.8397936981902407
-0.33333333333333326,0.3333333333333335,0.8909313208119537,0.8017757597478556
-0.33333333333333326,0.5,0.8248128474149551,0.7404252728030256
-0.33333333333333326,0.6666666666666665,0.7348465029276661,0.6561383055079146
-0.33333333333333326,0.8333333333333335,0.6235448671818155,0.551338541868677
-0.33333333333333326,1,0.4940169150382271,0.43065691272669643
-0.33333333333333326,1.1666666666666665,0.3498815685624632,0.2942751521230551
-0.33333333333333326,1.3333333333333335,0.19516706205392367,0.14573881682844653
-0.33333333333333326,1.5,0.03419891408883562,-0.00527542822132783
-0.33333333333333326,1.6666666666666665,-0.12852038279751168,-0.16121606904388572
